#卡牌名称 类型 费用 攻击 生命 行为 描述
幸运币 法术 0 0 0 下场 在本回合增加一水晶
猎人印记 法术 1 0 0 对方随从 使一个随从的生命变为1.
叫嚣的中士 随从 1 2 1 已方随从 战吼：本回合中，使一个随从获得+2攻击力
狼人渗透者 随从 1 2 1 下场 潜行
麻疯侏儒 随从 1 1 1 下场 亡语：对敌方英雄造成2点伤害
重型刃弩 武器 2 2 2 下场 战吼：使一个随机友方随从获得+1攻击力
冰冻陷井 法术 2 0 0 下场 奥秘：当一个敌方随从进攻时，将其移回其拥有者的手中，并使其法力值消耗增加2点。
快速射击 法术 2 0 0 敌人 造成3点伤害。如果你没有其他手牌，则抽一张牌。
捕熊陷阱 法术 2 0 0 下场 奥秘：在你的英雄受到攻击后，召唤一个3/3并具有嘲讽的灰熊。
爆炸陷阱 法术 2 0 0 下场 奥秘：当你的英雄受到攻击，对所有敌人造成2点伤害
疯狂的科学家 随从 2 2 2 下场 亡语：将一个奥秘从你的牌库中置入战场。
飞刀杂耍者 随从 2 2 2 下场 每当你召唤一个随从时，对一个随机敌方角色造成1点伤害。
鬼灵爬行者 随从 2 1 2 下场 亡语：召唤两个1/1的鬼灵蜘蛛。
鹰角弓 武器 3 3 2 下场 每当有一张你的奥秘牌被揭示时，便获得+1耐久度。
关门放狗 法术 3 0 0 下场 战场上每有一个敌方随从，便召唤一个1/1并具有冲锋的猎犬。
动物伙伴 法术 3 0 0 下场 随机召唤一个野兽伙伴。
杀戮命令 法术 3 0 0 敌人 造成3点伤害，如果你有任何野兽在场上，则改为造成5点伤害。
狼骑兵 随从 3 3 1 下场 冲锋
铁啄猫头鹰 随从 3 2 1 对方随从 战吼：沉默一个地方随从
银色骑手 随从 3 2 2 下场 冲锋，圣盾
